date,value,cash,positions
2026-02-12 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-13 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-17 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-18 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-19 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-20 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-23 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-24 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-25 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-26 00:00:00-05:00,101992.05956280525,101992.05956280525,0
2026-02-27 00:00:00-05:00,101992.05956280525,101992.05956280525,0
